match_no,ganador
73,CAN
74,GER
75,MAR
76,BRA
77,FRA
78,CIV
79,KOR
80,NOR
81,TUR
82,MEX
83,CRO
84,ALG
85,SUI
86,ESP
87,POR
88,EGY
89,FRA
90,MAR
91,BRA
92,NOR
93,CRO
94,TUR
95,ESP
96,POR
97,FRA
98,CRO
99,BRA
100,ESP
101,FRA
102,ESP
103,BRA
104,FRA
