match_no,ganador
73,CAN
74,GER
75,NED
76,BRA
77,FRA
78,ECU
79,MEX
80,ENG
81,PAR
82,EGY
83,CRO
84,URU
85,SUI
86,ARG
87,POR
88,BEL
89,GER
90,NED
91,BRA
92,ENG
93,CRO
94,EGY
95,ARG
96,POR
97,NED
98,CRO
99,BRA
100,POR
101,NED
102,POR
103,CRO
104,POR
