match_no,ganador
73,KOR
74,GER
75,MAR
76,BRA
77,FRA
78,NOR
79,ECU
80,ENG
81,USA
82,BEL
83,CRO
84,ESP
85,SUI
86,ARG
87,POR
88,TUR
89,FRA
90,MAR
91,BRA
92,ENG
93,ESP
94,BEL
95,ARG
96,POR
97,FRA
98,ESP
99,ENG
100,ARG
101,FRA
102,ARG
103,ESP
104,FRA
