match_no,ganador
73,SUI
74,GER
75,MAR
76,BRA
77,FRA
78,ECU
79,MEX
80,ENG
81,PAR
82,BEL
83,COL
84,ESP
85,CAN
86,ARG
87,POR
88,NZL
89,FRA
90,MAR
91,BRA
92,ENG
93,COL
94,BEL
95,ARG
96,POR
97,FRA
98,COL
99,BRA
100,ARG
101,FRA
102,BRA
103,ARG
104,FRA
